landingPage,product_rank,page_rank,id,name,pro_url,pro_code,price,ratingStar,commentCount,marketingShortDescription,image
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Creativity%20%26%20Entertainment,0,2,WMD00000403_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M90a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M90a/WMD00000403,WMD00000403,688.00,4.4,141,"<ul style=""list-style-type: disc;""><li><p>23.8&quot; all-in-one business PC</p></li><li><p>State-of-the-art privacy &amp; security features</p></li><li><p>Built-in cable management, keyboard garage, &amp; phone holder</p></li></ul>",https://p4-ofp.static.pub/fes/cms/2022/09/23/3q10s8so2djk5u2ii03pxhzqo1qiox927968.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Creativity%20%26%20Entertainment,1,2,WMD00000402_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M70a/WMD00000402,WMD00000402,604.00,4.6,124,"<ul style=""list-style-type: disc;""><li><p>Powerful 21.5&quot; enterprise all-in-one PC<br/></p></li><li><p>Enhanced security, with next-gen ports</p></li><li><p>FHD wide-angle display, with Dolby Atmos<sup>®</sup></p></li></ul>",https://p3-ofp.static.pub/fes/cms/2022/04/05/6ds2t9sswl8486rwpsnwwv3f2wc5pt818491.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Creativity%20%26%20Entertainment,2,2,WMD00000404_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70t,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-towers/ThinkCentre-M70t/WMD00000404,WMD00000404,425.00,4.3,38,<ul><li>13.6L tower with room for expansion</li> <li>Latest 10th Gen Intel® Core processors</li> <li>Data &amp; hardware security built-in</li></ul>,https://p4-ofp.static.pub/fes/cms/2022/07/15/9795i4r90d6ldfm411i7ib5z2uk34z870418.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Creativity%20%26%20Entertainment,3,2,FFYGF900316_0e49db5e-0834-41ba-84fe-f796497ba9fc,Yoga A940-27ICB,https://www.lenovo.com/us/en/p/desktops/ideacentre/yoga-a-series/Yoga-A940-27ICB/FFYGF900316,FFYGF900316,1903.99,4.5,819,<ul> <li>27” all-in-one desktop for creators</li> <li>Dazzling 4K display with Dolby Vision HDR</li> <li>Includes Active Pen and Content Creation Dial</li> </ul>,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mjg5ODB8aW1hZ2UvcG5nfGg5Ni9oNDYvOTg4MzU2MDgwNDM4Mi5wbmd8ZTQ2Zjc1MGIzMWQ5ZmEwM2Y1NDYwOWYyZWY3YmNjYWQwYzVmOGE2M2YyNGZlYzE0ZjU2YzRhZGQ5MDhmMGNlZQ/lenovo-desktop-yoga-a940-front.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Work,0,2,WMD00000403_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M90a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M90a/WMD00000403,WMD00000403,688.00,4.4,141,"<ul style=""list-style-type: disc;""><li><p>23.8&quot; all-in-one business PC</p></li><li><p>State-of-the-art privacy &amp; security features</p></li><li><p>Built-in cable management, keyboard garage, &amp; phone holder</p></li></ul>",https://p4-ofp.static.pub/fes/cms/2022/09/23/3q10s8so2djk5u2ii03pxhzqo1qiox927968.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Work,1,2,WMD00000402_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M70a/WMD00000402,WMD00000402,604.00,4.6,124,"<ul style=""list-style-type: disc;""><li><p>Powerful 21.5&quot; enterprise all-in-one PC<br/></p></li><li><p>Enhanced security, with next-gen ports</p></li><li><p>FHD wide-angle display, with Dolby Atmos<sup>®</sup></p></li></ul>",https://p3-ofp.static.pub/fes/cms/2022/04/05/6ds2t9sswl8486rwpsnwwv3f2wc5pt818491.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Work,2,2,WMD00000404_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70t,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-towers/ThinkCentre-M70t/WMD00000404,WMD00000404,425.00,4.3,38,<ul><li>13.6L tower with room for expansion</li> <li>Latest 10th Gen Intel® Core processors</li> <li>Data &amp; hardware security built-in</li></ul>,https://p4-ofp.static.pub/fes/cms/2022/07/15/9795i4r90d6ldfm411i7ib5z2uk34z870418.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Work,3,2,FFYGF900316_0e49db5e-0834-41ba-84fe-f796497ba9fc,Yoga A940-27ICB,https://www.lenovo.com/us/en/p/desktops/ideacentre/yoga-a-series/Yoga-A940-27ICB/FFYGF900316,FFYGF900316,1903.99,4.5,819,<ul> <li>27” all-in-one desktop for creators</li> <li>Dazzling 4K display with Dolby Vision HDR</li> <li>Includes Active Pen and Content Creation Dial</li> </ul>,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mjg5ODB8aW1hZ2UvcG5nfGg5Ni9oNDYvOTg4MzU2MDgwNDM4Mi5wbmd8ZTQ2Zjc1MGIzMWQ5ZmEwM2Y1NDYwOWYyZWY3YmNjYWQwYzVmOGE2M2YyNGZlYzE0ZjU2YzRhZGQ5MDhmMGNlZQ/lenovo-desktop-yoga-a940-front.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Students,0,2,WMD00000403_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M90a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M90a/WMD00000403,WMD00000403,688.00,4.4,141,"<ul style=""list-style-type: disc;""><li><p>23.8&quot; all-in-one business PC</p></li><li><p>State-of-the-art privacy &amp; security features</p></li><li><p>Built-in cable management, keyboard garage, &amp; phone holder</p></li></ul>",https://p4-ofp.static.pub/fes/cms/2022/09/23/3q10s8so2djk5u2ii03pxhzqo1qiox927968.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Students,1,2,WMD00000402_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M70a/WMD00000402,WMD00000402,604.00,4.6,124,"<ul style=""list-style-type: disc;""><li><p>Powerful 21.5&quot; enterprise all-in-one PC<br/></p></li><li><p>Enhanced security, with next-gen ports</p></li><li><p>FHD wide-angle display, with Dolby Atmos<sup>®</sup></p></li></ul>",https://p3-ofp.static.pub/fes/cms/2022/04/05/6ds2t9sswl8486rwpsnwwv3f2wc5pt818491.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Students,2,2,WMD00000404_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70t,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-towers/ThinkCentre-M70t/WMD00000404,WMD00000404,425.00,4.3,38,<ul><li>13.6L tower with room for expansion</li> <li>Latest 10th Gen Intel® Core processors</li> <li>Data &amp; hardware security built-in</li></ul>,https://p4-ofp.static.pub/fes/cms/2022/07/15/9795i4r90d6ldfm411i7ib5z2uk34z870418.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Students,3,2,FFYGF900316_0e49db5e-0834-41ba-84fe-f796497ba9fc,Yoga A940-27ICB,https://www.lenovo.com/us/en/p/desktops/ideacentre/yoga-a-series/Yoga-A940-27ICB/FFYGF900316,FFYGF900316,1903.99,4.5,819,<ul> <li>27” all-in-one desktop for creators</li> <li>Dazzling 4K display with Dolby Vision HDR</li> <li>Includes Active Pen and Content Creation Dial</li> </ul>,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mjg5ODB8aW1hZ2UvcG5nfGg5Ni9oNDYvOTg4MzU2MDgwNDM4Mi5wbmd8ZTQ2Zjc1MGIzMWQ5ZmEwM2Y1NDYwOWYyZWY3YmNjYWQwYzVmOGE2M2YyNGZlYzE0ZjU2YzRhZGQ5MDhmMGNlZQ/lenovo-desktop-yoga-a940-front.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Gaming,0,2,WMD00000403_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M90a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M90a/WMD00000403,WMD00000403,688.00,4.4,141,"<ul style=""list-style-type: disc;""><li><p>23.8&quot; all-in-one business PC</p></li><li><p>State-of-the-art privacy &amp; security features</p></li><li><p>Built-in cable management, keyboard garage, &amp; phone holder</p></li></ul>",https://p4-ofp.static.pub/fes/cms/2022/09/23/3q10s8so2djk5u2ii03pxhzqo1qiox927968.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Gaming,1,2,WMD00000402_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M70a/WMD00000402,WMD00000402,604.00,4.6,124,"<ul style=""list-style-type: disc;""><li><p>Powerful 21.5&quot; enterprise all-in-one PC<br/></p></li><li><p>Enhanced security, with next-gen ports</p></li><li><p>FHD wide-angle display, with Dolby Atmos<sup>®</sup></p></li></ul>",https://p3-ofp.static.pub/fes/cms/2022/04/05/6ds2t9sswl8486rwpsnwwv3f2wc5pt818491.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Gaming,2,2,WMD00000404_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70t,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-towers/ThinkCentre-M70t/WMD00000404,WMD00000404,425.00,4.3,38,<ul><li>13.6L tower with room for expansion</li> <li>Latest 10th Gen Intel® Core processors</li> <li>Data &amp; hardware security built-in</li></ul>,https://p4-ofp.static.pub/fes/cms/2022/07/15/9795i4r90d6ldfm411i7ib5z2uk34z870418.png
https://www.lenovo.com/us/en/desktops/subseries-results?visibleDatas=993:Gaming,3,2,FFYGF900316_0e49db5e-0834-41ba-84fe-f796497ba9fc,Yoga A940-27ICB,https://www.lenovo.com/us/en/p/desktops/ideacentre/yoga-a-series/Yoga-A940-27ICB/FFYGF900316,FFYGF900316,1903.99,4.5,819,<ul> <li>27” all-in-one desktop for creators</li> <li>Dazzling 4K display with Dolby Vision HDR</li> <li>Includes Active Pen and Content Creation Dial</li> </ul>,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mjg5ODB8aW1hZ2UvcG5nfGg5Ni9oNDYvOTg4MzU2MDgwNDM4Mi5wbmd8ZTQ2Zjc1MGIzMWQ5ZmEwM2Y1NDYwOWYyZWY3YmNjYWQwYzVmOGE2M2YyNGZlYzE0ZjU2YzRhZGQ5MDhmMGNlZQ/lenovo-desktop-yoga-a940-front.png
